"","X","cohort","current_age","next_age","trans_female","trans_male","cohort_group","trans_gap"
"1",0,2009,1,2,0.96515397082658,0.97040864255519,2005,0.994585093847914
"2",1,2009,2,3,0.941785614329695,0.944820909970958,2005,0.996787438117392
"3",2,2009,3,4,0.924517087667162,0.942110655737705,2005,0.981325369834856
"4",3,2009,4,5,0.916425586628094,0.930940728656879,2005,0.984408092178192
"5",4,2009,5,6,0.918274289722904,0.940420560747664,2005,0.976450673295411
"6",5,2009,6,7,0.927807486631016,0.940372670807453,2005,0.986638080235096
"7",6,2009,7,8,0.930835734870317,0.947159841479524,2005,0.982765204040209
"8",7,2009,8,9,0.926581158779301,0.946304044630405,2005,0.979157982085127
"9",8,2009,9,10,0.924105011933174,0.945467943994105,2005,0.977404911296428
"10",9,2008,1,2,0.960080995082441,0.96215655780197,2005,0.9978428014623
"11",10,2008,2,3,0.936727930099428,0.94989224137931,2005,0.986141258232863
"12",11,2008,3,4,0.939530395625603,0.95745887691435,2005,0.981274933345935
"13",12,2008,4,5,0.924683327627525,0.938981042654028,2005,0.984773159012784
"14",13,2008,5,6,0.919289152165864,0.936277602523659,2005,0.981855327616506
"15",14,2008,6,7,0.92066049134112,0.93733153638814,2005,0.98221435596709
"16",15,2008,7,8,0.928258967629046,0.931703810208483,2005,0.996302641953706
"17",16,2008,8,9,0.926013195098963,0.941358024691358,2005,0.983699262990374
"18",17,2008,9,10,0.928753180661578,0.941803278688525,2005,0.986143499048847
"19",18,2008,10,11,0.938630136986301,0.944299390774587,2005,0.993996338614986
"20",19,2006,1,2,0.968986905582357,0.969187675070028,2005,0.999792847667345
"21",20,2006,2,3,0.930654338549075,0.952023121387283,2005,0.977554344681178
"22",21,2006,3,4,0.935040122277417,0.95264116575592,2005,0.981523952447996
"23",22,2006,4,5,0.921127911728647,0.946462715105163,2005,0.97323211683653
"24",23,2006,5,6,0.935226264418811,0.933333333333333,2005,1.00202814044873
"25",24,2006,6,7,0.934535104364326,0.938672438672439,2005,0.995592355610266
"26",25,2006,7,8,0.937055837563452,0.950807071483474,2005,0.985537303694463
"27",26,2006,8,9,0.927410617551463,0.935327405012126,2005,0.991535811504891
"28",27,2006,9,10,0.934579439252336,0.937770095073466,2005,0.996597614022998
"29",28,2006,10,11,0.9425,0.961290322580645,2005,0.980453020134228
"30",29,2006,11,12,0.937002652519894,0.946308724832215,2005,0.990165923584852
